Sat0_5:40:24:('4 Jun 2023 05:11:14.956', '4 Jun 2023 05:28:39.551')
Sat0_5:40:25:('4 Jun 2023 07:15:42.914', '4 Jun 2023 07:38:14.615')
Sat0_5:40:26:('4 Jun 2023 09:27:05.384', '4 Jun 2023 09:47:13.780')
Sat0_5:40:27:('4 Jun 2023 11:43:58.704', '4 Jun 2023 11:57:39.592')
Sat0_5:40:28:('4 Jun 2023 13:58:15.648', '4 Jun 2023 14:13:46.246')
Sat0_5:40:29:('4 Jun 2023 16:07:54.301', '4 Jun 2023 16:29:24.251')
Sat0_5:40:30:('4 Jun 2023 18:16:53.461', '4 Jun 2023 18:38:49.695')
Sat0_5:40:31:('4 Jun 2023 20:27:14.912', '4 Jun 2023 20:40:38.817')
Sat0_5:40:32:('5 Jun 2023 04:31:20.087', '5 Jun 2023 04:44:37.735')
Sat0_5:40:33:('5 Jun 2023 06:33:05.487', '5 Jun 2023 06:55:00.574')
Sat0_5:40:34:('5 Jun 2023 08:42:28.524', '5 Jun 2023 09:03:59.815')
Sat0_5:40:35:('5 Jun 2023 10:58:04.646', '5 Jun 2023 11:13:37.762')
Sat0_5:40:36:('5 Jun 2023 13:14:13.180', '5 Jun 2023 13:27:52.270')
Sat0_5:40:37:('5 Jun 2023 15:24:40.251', '5 Jun 2023 15:44:46.685')
Sat0_5:40:38:('5 Jun 2023 17:33:39.500', '5 Jun 2023 17:56:11.514')
Sat0_5:40:39:('5 Jun 2023 19:43:13.927', '5 Jun 2023 20:00:42.369')
Sat0_6:40:0:('1 Jun 2023 04:57:53.092', '1 Jun 2023 05:12:39.255')
Sat0_6:40:1:('1 Jun 2023 07:00:32.640', '1 Jun 2023 07:22:43.345')
Sat0_6:40:2:('1 Jun 2023 09:10:32.323', '1 Jun 2023 09:31:41.708')
Sat0_6:40:3:('1 Jun 2023 11:26:35.954', '1 Jun 2023 11:41:31.372')
Sat0_6:40:4:('1 Jun 2023 13:42:13.814', '1 Jun 2023 13:56:22.703')
Sat0_6:40:5:('1 Jun 2023 15:52:23.061', '1 Jun 2023 16:12:58.235')
Sat0_6:40:6:('1 Jun 2023 18:01:21.419', '1 Jun 2023 18:23:46.906')
Sat0_6:40:7:('1 Jun 2023 20:11:06.613', '1 Jun 2023 20:27:32.405')
Sat0_6:40:8:('2 Jun 2023 04:19:13.358', '2 Jun 2023 04:27:49.049')
Sat0_6:40:9:('2 Jun 2023 06:18:22.231', '2 Jun 2023 06:39:25.794')
Sat0_6:40:10:('2 Jun 2023 08:26:20.394', '2 Jun 2023 08:48:29.911')
Sat0_6:40:11:('2 Jun 2023 10:40:45.417', '2 Jun 2023 10:57:48.339')
Sat0_6:40:12:('2 Jun 2023 12:57:45.288', '2 Jun 2023 13:10:38.789')
