Sat0_3:58:39:('10 Jun 2023 18:29:17.201', '10 Jun 2023 18:32:56.406')
Sat0_3:58:40:('10 Jun 2023 20:07:55.882', '10 Jun 2023 20:12:10.811')
Sat0_3:58:41:('10 Jun 2023 21:47:14.971', '10 Jun 2023 21:49:41.530')
Sat0_3:58:42:('11 Jun 2023 16:26:12.147', '11 Jun 2023 16:30:30.969')
Sat0_3:58:43:('11 Jun 2023 18:05:22.892', '11 Jun 2023 18:09:04.535')
Sat0_3:58:44:('11 Jun 2023 19:44:09.773', '11 Jun 2023 19:48:16.571')
Sat0_3:58:45:('11 Jun 2023 21:23:00.720', '11 Jun 2023 21:26:31.709')
Sat0_3:58:46:('12 Jun 2023 16:02:26.656', '12 Jun 2023 16:06:41.964')
Sat0_3:58:47:('12 Jun 2023 17:41:26.809', '12 Jun 2023 17:45:15.075')
Sat0_3:58:48:('12 Jun 2023 19:20:23.386', '12 Jun 2023 19:24:20.337')
Sat0_3:58:49:('12 Jun 2023 20:59:01.340', '12 Jun 2023 21:03:03.301')
Sat0_3:58:50:('13 Jun 2023 15:38:48.401', '13 Jun 2023 15:42:49.083')
Sat0_3:58:51:('13 Jun 2023 17:17:30.019', '13 Jun 2023 17:21:27.558')
Sat0_3:58:52:('13 Jun 2023 18:56:35.774', '13 Jun 2023 19:00:23.554')
Sat0_3:58:53:('13 Jun 2023 20:35:08.762', '13 Jun 2023 20:39:24.542')
Sat0_3:58:54:('14 Jun 2023 15:15:20.777', '14 Jun 2023 15:18:49.147')
Sat0_3:58:55:('14 Jun 2023 16:53:33.859', '14 Jun 2023 16:57:41.212')
Sat0_3:58:56:('14 Jun 2023 18:32:46.179', '14 Jun 2023 18:36:27.549')
Sat0_3:58:57:('14 Jun 2023 20:11:19.924', '14 Jun 2023 20:15:38.694')
Sat0_4:61:0:('1 Jun 2023 16:57:06.466', '1 Jun 2023 17:01:24.878')
Sat0_4:61:1:('1 Jun 2023 18:36:13.623', '1 Jun 2023 18:39:57.633')
Sat0_4:61:2:('1 Jun 2023 20:15:04.539', '1 Jun 2023 20:19:07.232')
Sat0_4:61:3:('1 Jun 2023 21:53:48.754', '1 Jun 2023 21:57:35.583')
Sat0_4:61:4:('2 Jun 2023 16:33:23.744', '2 Jun 2023 16:37:34.498')
Sat0_4:61:5:('2 Jun 2023 18:12:17.086', '2 Jun 2023 18:16:09.074')
Sat0_4:61:6:('2 Jun 2023 19:51:17.738', '2 Jun 2023 19:55:10.593')
Sat0_4:61:7:('2 Jun 2023 21:29:52.786', '2 Jun 2023 21:34:02.238')
Sat0_4:61:8:('3 Jun 2023 16:09:49.440', '3 Jun 2023 16:13:39.161')
Sat0_4:61:9:('3 Jun 2023 17:48:20.392', '3 Jun 2023 17:52:22.160')
Sat0_4:61:10:('3 Jun 2023 19:27:29.367', '3 Jun 2023 19:31:13.991')
Sat0_4:61:11:('3 Jun 2023 21:06:02.057', '3 Jun 2023 21:10:20.180')
Sat0_4:61:12:('4 Jun 2023 15:46:28.254', '4 Jun 2023 15:49:34.337')
Sat0_4:61:13:('4 Jun 2023 17:24:24.937', '4 Jun 2023 17:28:36.031')
Sat0_4:61:14:('4 Jun 2023 19:03:38.772', '4 Jun 2023 19:07:18.654')
Sat0_4:61:15:('4 Jun 2023 20:42:14.249', '4 Jun 2023 20:46:31.971')
Sat0_4:61:16:('4 Jun 2023 22:22:09.376', '4 Jun 2023 22:23:17.381')
Sat0_4:61:17:('5 Jun 2023 15:23:39.687', '5 Jun 2023 15:25:00.664')
Sat0_4:61:18:('5 Jun 2023 17:00:32.191', '5 Jun 2023 17:04:49.691')
Sat0_4:61:19:('5 Jun 2023 18:39:45.709', '5 Jun 2023 18:43:25.454')
Sat0_4:61:20:('5 Jun 2023 20:18:27.860', '5 Jun 2023 20:22:39.421')
Sat0_4:61:21:('5 Jun 2023 21:57:31.100', '5 Jun 2023 22:00:33.630')
Sat0_4:61:22:('6 Jun 2023 16:36:43.688', '6 Jun 2023 16:41:01.996')
Sat0_4:61:23:('6 Jun 2023 18:15:50.476', '6 Jun 2023 18:19:34.720')
Sat0_4:61:24:('6 Jun 2023 19:54:41.746', '6 Jun 2023 19:58:44.080')
Sat0_4:61:25:('6 Jun 2023 21:33:25.480', '6 Jun 2023 21:37:13.458')
Sat0_4:61:26:('7 Jun 2023 16:13:01.221', '7 Jun 2023 16:17:11.482')
Sat0_4:61:27:('7 Jun 2023 17:51:53.911', '7 Jun 2023 17:55:46.236')
Sat0_4:61:28:('7 Jun 2023 19:30:54.902', '7 Jun 2023 19:34:47.418')
Sat0_4:61:29:('7 Jun 2023 21:09:29.759', '7 Jun 2023 21:13:39.733')
Sat0_4:61:30:('8 Jun 2023 15:49:27.289', '8 Jun 2023 15:53:15.902')
Sat0_4:61:31:('8 Jun 2023 17:27:57.236', '8 Jun 2023 17:31:59.366')
Sat0_4:61:32:('8 Jun 2023 19:07:06.461', '8 Jun 2023 19:10:50.841')
Sat0_4:61:33:('8 Jun 2023 20:45:39.169', '8 Jun 2023 20:49:57.414')
Sat0_4:61:34:('9 Jun 2023 15:26:06.745', '9 Jun 2023 15:29:10.575')
Sat0_4:61:35:('9 Jun 2023 17:04:01.854', '9 Jun 2023 17:08:13.248')
Sat0_4:61:36:('9 Jun 2023 18:43:15.778', '9 Jun 2023 18:46:55.570')
Sat0_4:61:37:('9 Jun 2023 20:21:51.436', '9 Jun 2023 20:26:09.018')
Sat0_4:61:38:('9 Jun 2023 22:01:42.518', '9 Jun 2023 22:02:59.108')
Sat0_4:61:39:('10 Jun 2023 15:03:21.119', '10 Jun 2023 15:04:34.098')
Sat0_4:61:40:('10 Jun 2023 16:40:09.236', '10 Jun 2023 16:44:26.880')
Sat0_4:61:41:('10 Jun 2023 18:19:22.628', '10 Jun 2023 18:23:02.457')
Sat0_4:61:42:('10 Jun 2023 19:58:05.077', '10 Jun 2023 20:02:16.340')
Sat0_4:61:43:('10 Jun 2023 21:37:07.317', '10 Jun 2023 21:40:12.141')
Sat0_4:61:44:('11 Jun 2023 16:16:20.918', '11 Jun 2023 16:20:39.111')
Sat0_4:61:45:('11 Jun 2023 17:55:27.329', '11 Jun 2023 17:59:11.815')
Sat0_4:61:46:('11 Jun 2023 19:34:18.954', '11 Jun 2023 19:38:20.925')
Sat0_4:61:47:('11 Jun 2023 21:13:02.215', '11 Jun 2023 21:16:51.316')
Sat0_4:61:48:('12 Jun 2023 15:52:38.711', '12 Jun 2023 15:56:48.460')
Sat0_4:61:49:('12 Jun 2023 17:31:30.737', '12 Jun 2023 17:35:23.400')
Sat0_4:61:50:('12 Jun 2023 19:10:32.067', '12 Jun 2023 19:14:24.243')
